id_estudiante,programa,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,solemne_1,solemne_2,solemne_3,solemne_4
146,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 13, 18, 35]","[6, 1]",-1,-1,6.6,5.7,6.4,6.2
147,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13]","[6, 1, 44]",-1,-1,7.0,7.0,6.6,6.9
148,INGENIERIA INDUSTRIAL,0,16,-1,-1,-1,-1,4.6,1.0,1.0,2.2
149,INGENIERIA CIVIL INDUSTRIAL,22,25,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 13, 18]",[44],-1,-1,4.8,6.2,4.4,5.1
150,INGENIERIA CIVIL INDUSTRIAL,1,15,[25],-1,-1,-1,5.8,5.6,6.8,6.1
151,INGENIERIA EN COMPUTACION E INFORMATICA,0,16,-1,-1,-1,-1,6.6,4.6,3.2,4.8
152,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32]","[6, 1, 44, 37]",-1,-1,6.1,5.9,6.6,6.2
153,INGENIERIA CIVIL INDUSTRIAL,20,19,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 37, 28, 38]",-1,-1,6.0,5.3,5.8,5.7
154,INGENIERIA EN COMPUTACION E INFORMATICA,23,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3]","[6, 1, 44, 11, 37, 38, 9]",-1,-1,6.3,6.7,5.7,6.2
155,INGENIERIA CIVIL INDUSTRIAL,7,17,"[25, 17, 4, 26, 29, 22, 10]",-1,-1,-1,3.8,4.1,2.4,3.4
156,INGENIERIA EN COMPUTACION E INFORMATICA,26,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 1, 44, 37, 28]",-1,-1,6.6,6.6,6.1,6.4
157,INGENIERIA EN COMPUTACION E INFORMATICA,8,16,"[25, 17]",-1,-1,-1,6.4,5.9,2.9,5.1
158,INGENIERIA CIVIL INFORMATICA,26,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44]",-1,-1,5.9,6.3,6.0,6.1
159,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1]",-1,-1,6.4,5.3,6.0,6.7
160,INGENIERIA CIVIL INDUSTRIAL,19,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 37, 28]",-1,-1,5.2,5.0,5.1,5.1
161,INGENIERIA CIVIL INFORMATICA,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18]","[6, 1, 44]",-1,-1,7.0,7.0,6.7,6.9
162,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 1, 44]",-1,-1,6.6,4.9,5.6,5.7
163,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 42, 18, 35]","[6, 1, 44, 37]",-1,-1,6.6,5.5,6.3,6.1
164,INGENIERIA CIVIL INDUSTRIAL,7,24,-1,"[6, 1, 44, 37, 28, 21, 9]",-1,-1,4.4,6.3,6.4,5.7
165,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 17, 4, 26, 23, 0, 22, 10, 42, 32, 18, 35]",[44],-1,-1,3.8,5.8,6.4,5.3
166,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,4.3,1.0,1.0,2.1
167,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44]",-1,-1,6.3,5.5,7.0,6.3
168,INGENIERIA CIVIL INFORMATICA,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 18, 35]","[1, 44, 37]",-1,-1,6.8,5.9,4.8,5.8
169,INGENIERIA CIVIL INFORMATICA,15,16,"[25, 17, 4, 26, 29, 22, 10, 3, 42, 35]","[6, 1, 44, 38, 9]",-1,-1,5.7,6.2,5.5,5.7
170,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,6.1,6.4,6.2,6.1
171,BACHILLERATO EN CIENCIAS,26,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7]","[6, 1, 44, 37, 28, 12, 21]",-1,-1,7.0,6.2,6.0,6.4
172,BACHILLERATO EN CIENCIAS,15,16,"[25, 17, 4, 26, 29, 23, 22, 10, 3, 42, 18]","[6, 1, 44, 28]",-1,-1,7.0,4.9,5.6,5.8
173,INGENIERIA INDUSTRIAL,0,31,-1,-1,-1,-1,3.6,4.0,4.6,4.6
174,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 17, 4, 29, 22, 10, 7, 32, 13, 18, 35]","[44, 11]",-1,-1,6.4,6.3,7.0,6.6
175,INGENIERIA INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 44, 28, 12, 38]",-1,-1,5.7,6.6,6.6,6.3
176,INGENIERIA EN COMPUTACION E INFORMATICA,7,24,"[25, 17, 4, 26, 3]","[1, 28]",-1,-1,3.8,6.5,6.0,5.4
177,INGENIERIA EN COMPUTACION E INFORMATICA,7,9,"[25, 17, 4, 26, 29, 22, 10]",-1,-1,-1,4.4,5.1,5.0,4.8
178,INGENIERIA EN COMPUTACION E INFORMATICA,13,18,"[25, 17, 4, 29, 23, 22, 10, 3, 42]","[6, 44, 37, 28]",-1,-1,6.8,5.9,6.2,6.2
179,INGENIERIA EN COMPUTACION E INFORMATICA,15,16,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32, 35]","[6, 44, 37]",-1,-1,5.9,6.2,5.8,5.9
180,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 17, 4, 29, 23, 0, 22, 10, 42, 32, 18, 35]",[6],-1,-1,5.0,4.2,5.8,5.0
181,INGENIERIA CIVIL INFORMATICA,11,20,"[25, 17, 4, 26, 29, 23, 3, 42, 18, 35]",[28],-1,-1,6.4,6.3,6.1,5.3
182,INGENIERIA CIVIL INDUSTRIAL,24,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[1, 44]",-1,-1,7.0,5.3,6.5,6.3
183,INGENIERIA EN COMPUTACION E INFORMATICA,19,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44, 37]",-1,-1,6.0,6.2,6.0,6.1
184,INGENIERIA EN COMPUTACION E INFORMATICA,20,19,"[25, 17, 4, 26, 23, 0, 22, 10, 3, 42, 18]","[1, 44, 37]",-1,-1,5.0,5.3,6.0,5.4
185,INGENIERIA EN COMPUTACION E INFORMATICA,14,17,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32, 18, 35]",[1],-1,-1,6.9,6.5,5.3,6.2
186,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 32, 13, 18, 35]","[6, 37]",-1,-1,7.0,5.1,5.9,6.0
187,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]",-1,-1,-1,6.8,7.0,6.2,6.7
188,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 44, 38]",-1,-1,6.2,4.7,3.9,4.9
189,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[1, 44, 37]",-1,-1,6.6,7.0,6.4,6.7
190,INGENIERIA EN COMPUTACION E INFORMATICA,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 35]","[6, 1, 44, 37, 28]",-1,-1,5.6,6.5,5.8,6.0
191,INGENIERIA EN COMPUTACION E INFORMATICA,25,6,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28, 12, 21, 38, 8]",-1,-1,6.0,6.7,6.5,6.0
192,INGENIERIA CIVIL INDUSTRIAL,14,17,"[25, 17, 4, 26, 29, 22, 3, 42, 32, 18]","[6, 1, 44, 38]",-1,-1,7.0,6.4,4.7,6.0
193,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 26, 0, 22, 10, 42, 32, 35]","[6, 1, 44, 37, 28]",-1,-1,5.8,6.2,2.4,4.8
194,INGENIERIA CIVIL INFORMATICA,23,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[1, 44]",-1,-1,6.6,5.6,6.6,6.3
195,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 17, 4, 26, 29, 0, 22, 10]","[6, 1, 44, 37, 28]",-1,-1,6.7,5.9,4.0,5.5
196,INGENIERIA CIVIL INFORMATICA,3,13,"[25, 17, 4]",-1,-1,-1,4.6,4.7,1.0,3.4
197,INGENIERIA CIVIL INDUSTRIAL,22,9,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28, 38]",-1,-1,5.0,5.6,6.0,5.5
198,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 7, 32, 13, 35]","[44, 11]",-1,-1,6.4,3.8,4.7,5.0
199,INGENIERIA INDUSTRIAL,19,20,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]",-1,-1,-1,6.8,6.2,6.8,6.6
200,INGENIERIA CIVIL INDUSTRIAL,14,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 42, 32, 18]","[1, 44]",-1,-1,3.0,6.2,5.9,5.0
201,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 35]","[6, 1, 44]",-1,-1,7.0,4.6,5.8,5.8
202,INGENIERIA EN COMPUTACION E INFORMATICA,13,18,"[25, 17, 4, 29, 23, 22, 10, 3, 42, 35]","[6, 44, 37]",-1,-1,6.0,4.8,5.8,5.8
203,INGENIERIA CIVIL INDUSTRIAL,11,13,"[25, 17, 4, 26]",-1,-1,-1,4.5,6.0,3.1,4.5
204,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 1, 44]",-1,-1,6.7,7.0,6.8,6.8
205,INGENIERIA EN COMPUTACION E INFORMATICA,13,18,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 18, 35]",-1,-1,-1,6.7,6.8,6.6,6.7
206,INGENIERIA CIVIL INDUSTRIAL,0,16,-1,-1,-1,-1,6.4,5.9,6.7,6.3
207,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44]",-1,-1,7.0,4.9,5.9,5.9
208,INGENIERIA EN COMPUTACION E INFORMATICA,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[1, 44, 28]",-1,-1,6.2,6.2,5.4,5.9
209,INGENIERIA EN COMPUTACION E INFORMATICA,11,20,"[25, 17, 4, 26, 29, 23, 0, 3, 42, 18]",[37],-1,-1,6.4,5.0,6.1,5.8
210,INGENIERIA EN COMPUTACION E INFORMATICA,24,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 18]","[6, 1, 44, 11, 37, 38, 9]",-1,-1,6.0,6.4,6.4,6.3
211,INGENIERIA EN COMPUTACION E INFORMATICA,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 37]",-1,-1,6.5,6.6,6.6,6.6
212,INGENIERIA CIVIL INFORMATICA,0,0,-1,-1,-1,-1,1.0,1.0,1.0,1.0
213,INGENIERIA CIVIL INDUSTRIAL,15,32,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3]","[6, 1, 44, 37, 28]",-1,-1,7.0,5.2,5.7,6.0
214,INGENIERIA CIVIL INDUSTRIAL,10,21,"[25, 17, 4, 26, 23, 22, 32, 35]","[44, 37]",-1,-1,5.6,5.1,6.0,5.6
215,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 32, 13, 18, 35]","[6, 1, 44]",-1,-1,7.0,5.7,6.4,6.4
216,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,5.4,6.0,5.5,5.6
217,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[1, 44]",-1,-1,7.0,6.8,6.8,6.9
218,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,5.0,6.0,5.9,5.6
219,INGENIERIA CIVIL INFORMATICA,14,17,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32]","[1, 44, 38]",-1,-1,6.2,5.3,6.0,5.8
220,INGENIERIA CIVIL INDUSTRIAL,19,20,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 44]",-1,-1,4.8,6.8,6.6,6.1
221,INGENIERIA CIVIL INFORMATICA,14,17,"[25, 17, 4, 26, 29, 23, 0, 10, 3, 42, 18]","[1, 44, 28]",-1,-1,7.0,6.8,6.4,6.7
222,INGENIERIA EN COMPUTACION E INFORMATICA,3,13,"[25, 17, 4]",-1,-1,-1,6.8,5.5,2.0,4.8
223,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18]","[1, 44]",-1,-1,6.8,6.2,6.4,6.4
224,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 10, 42, 32, 18, 35]","[6, 1, 44, 38]",-1,-1,6.2,6.5,6.6,6.4
225,INGENIERIA CIVIL INFORMATICA,0,16,-1,-1,-1,-1,4.4,2.5,1.0,2.6
226,INGENIERIA EN COMPUTACION E INFORMATICA,14,17,"[25, 17, 4, 26, 29, 23, 22, 10, 3, 32, 35]","[6, 37, 28]",-1,-1,5.3,6.2,4.7,5.4
227,INGENIERIA EN COMPUTACION E INFORMATICA,0,31,-1,-1,-1,-1,4.8,5.8,4.2,4.9
228,INGENIERIA CIVIL INDUSTRIAL,24,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,6.6,6.4,6.6,6.5
229,INGENIERIA CIVIL INFORMATICA,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 35]","[6, 1, 44, 37, 28]",-1,-1,6.6,5.7,7.0,6.4
230,INGENIERIA CIVIL INFORMATICA,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 35]","[6, 1, 44]",-1,-1,6.3,5.7,5.9,6.0
231,INGENIERIA EN COMPUTACION E INFORMATICA,0,16,-1,-1,-1,-1,4.8,5.6,3.5,4.6
232,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,"[25, 17, 4, 26, 29, 23, 0, 22, 10]",-1,-1,-1,4.4,6.5,3.0,4.6
233,INGENIERIA CIVIL INDUSTRIAL,5,11,"[25, 17, 4, 0, 3]",-1,-1,-1,6.0,5.1,4.1,5.1
234,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 13, 18, 35]",[28],-1,-1,5.2,4.7,4.2,4.7
235,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,6.3,5.4,4.7,5.5
236,INGENIERIA CIVIL INFORMATICA,11,20,"[4, 29, 23, 22, 3, 42, 32]","[6, 1, 44, 38]",-1,-1,5.0,3.9,4.3,4.4
237,INGENIERIA CIVIL INFORMATICA,26,13,"[25, 17, 4, 26, 29, 23, 0, 10, 3, 42, 7, 32, 13, 18]","[1, 11, 37, 28, 21]",-1,-1,6.8,5.4,6.3,6.1
238,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,"[25, 17, 4, 26, 29, 23, 0, 22, 3, 42, 32, 35]","[6, 44, 37]",-1,-1,6.3,6.6,6.3,6.3
239,INGENIERIA EN COMPUTACION E INFORMATICA,21,10,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 18, 35]","[6, 1, 44, 37, 28, 12, 21, 38]",-1,-1,7.0,1.0,6.8,6.3
240,INGENIERIA CIVIL INDUSTRIAL,32,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1]",-1,-1,6.2,6.8,6.2,6.4
241,INGENIERIA EN COMPUTACION E INFORMATICA,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 42, 32, 13, 18]","[6, 44, 37, 28]",-1,-1,6.4,6.2,4.6,5.7
242,INGENIERIA CIVIL INFORMATICA,14,17,"[25, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[1, 44]",-1,-1,5.8,6.3,5.5,5.9
243,INGENIERIA CIVIL INFORMATICA,26,5,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 9]",-1,-1,6.2,6.8,6.8,6.6
244,INGENIERIA CIVIL INFORMATICA,23,8,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21]",-1,-1,5.7,5.0,5.4,5.4
245,INGENIERIA CIVIL INFORMATICA,11,20,"[25, 17, 4, 26, 3, 42, 18, 35]","[6, 1, 44]",-1,-1,6.4,5.2,4.9,4.0
246,INGENIERIA CIVIL INFORMATICA,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3]","[6, 1, 44, 11, 37, 28, 12, 21]",-1,-1,6.4,6.6,6.3,6.4
247,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 1, 44]",-1,-1,5.0,6.5,5.2,5.9
248,INGENIERIA CIVIL INFORMATICA,25,6,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28, 12, 21, 9, 2]",-1,-1,6.8,6.1,7.0,6.6
249,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 35]","[44, 37, 28]",-1,-1,6.1,4.5,6.0,5.5
250,INGENIERIA CIVIL INDUSTRIAL,14,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]",-1,-1,-1,5.6,5.7,6.0,5.8
251,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 35]","[1, 44]",-1,-1,5.5,4.7,6.2,5.5
252,INGENIERIA EN COMPUTACION E INFORMATICA,14,17,"[25, 17, 4, 26, 29, 22, 10, 3, 42, 13]","[6, 1, 44, 37]",-1,-1,6.9,6.3,6.0,6.3
253,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37, 28]",-1,-1,6.8,6.2,5.4,6.1
254,INGENIERIA CIVIL INDUSTRIAL,18,21,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13]","[6, 1, 44, 37, 28]",-1,-1,6.8,4.3,6.0,5.7
255,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[1, 28, 38]",-1,-1,4.2,6.2,6.0,5.5
256,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32]","[6, 1, 44, 37]",-1,-1,7.0,6.4,6.4,6.6
257,INGENIERIA CIVIL INFORMATICA,24,23,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[1, 44]",-1,-1,6.1,6.3,6.2,6.2
258,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 22, 10, 3, 42, 32, 18]","[6, 1, 44, 28, 12]",-1,-1,6.6,5.5,7.0,6.4
259,INGENIERIA CIVIL INFORMATICA,13,18,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13]",-1,-1,-1,7.0,6.2,4.5,5.9
260,INGENIERIA CIVIL INFORMATICA,1,15,[25],-1,-1,-1,3.6,1.9,1.0,1.9
261,INGENIERIA EN COMPUTACION E INFORMATICA,3,13,"[17, 4, 22]",-1,-1,-1,4.8,5.8,6.2,5.6
262,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 44, 37, 28, 12, 38]",-1,-1,5.8,5.8,6.1,5.9
263,INGENIERIA EN COMPUTACION E INFORMATICA,17,14,"[25, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 44, 37, 28]",-1,-1,4.9,5.3,3.0,4.4
264,INGENIERIA CIVIL INDUSTRIAL,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 38]",-1,-1,6.7,6.2,6.6,6.5
265,INGENIERIA EN COMPUTACION E INFORMATICA,14,17,"[25, 17, 4, 26, 29, 23, 22, 10, 3, 42]","[6, 44, 37, 28]",-1,-1,4.8,5.6,4.7,2.9
266,INGENIERIA EN COMPUTACION E INFORMATICA,0,16,-1,-1,-1,-1,2.8,1.0,1.0,1.6
267,INGENIERIA CIVIL INFORMATICA,13,18,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 13, 18]",-1,-1,-1,6.4,6.8,6.3,6.3
268,INGENIERIA EN COMPUTACION E INFORMATICA,20,19,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 18, 35]","[6, 1, 44, 37, 28]",-1,-1,6.4,6.6,6.5,6.5
269,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 17, 26, 23, 22, 10, 3, 35]","[6, 1, 44, 37, 28]",-1,-1,7.0,5.3,5.6,6.0
270,INGENIERIA CIVIL INDUSTRIAL,14,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 35]",[37],-1,-1,6.6,5.8,5.2,5.9
271,INGENIERIA CIVIL INDUSTRIAL,20,11,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 38]",-1,-1,6.6,7.0,6.3,6.3
272,INGENIERIA CIVIL INFORMATICA,11,13,"[25, 17, 4, 26]",-1,-1,-1,5.6,6.4,6.1,6.0
273,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 44, 38]",-1,-1,6.7,6.0,6.2,6.3
274,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,3.6,2.2,1.0,2.3
275,INGENIERIA EN COMPUTACION E INFORMATICA,10,21,"[23, 0, 3, 42, 7, 32, 18, 35]","[1, 44]",-1,-1,5.6,3.0,4.2,4.3
276,INGENIERIA CIVIL INDUSTRIAL,21,18,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]",-1,-1,-1,5.0,6.4,6.5,6.0
277,INGENIERIA CIVIL INDUSTRIAL,8,23,"[4, 26, 29, 23, 0, 22]","[44, 28]",-1,-1,6.0,4.9,3.9,4.9
278,INGENIERIA CIVIL INFORMATICA,0,16,-1,-1,-1,-1,1.0,6.1,1.0,2.7
279,INGENIERIA CIVIL INFORMATICA,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 44]",-1,-1,7.0,6.0,6.6,6.3
280,INGENIERIA EN COMPUTACION E INFORMATICA,0,31,-1,-1,-1,-1,4.2,4.0,2.5,3.6
281,INGENIERIA CIVIL INDUSTRIAL,24,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37, 28, 12]",-1,-1,6.8,7.0,6.6,6.8
282,INGENIERIA CIVIL INDUSTRIAL,5,34,"[25, 17, 4, 3, 18]",-1,-1,-1,6.2,5.2,4.6,5.3
283,INGENIERIA CIVIL INDUSTRIAL,27,4,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8, 9, 2]",-1,-1,6.4,6.0,6.0,6.1
284,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 1, 44]",-1,-1,6.6,6.5,6.7,6.6
285,INGENIERIA CIVIL INDUSTRIAL,14,25,"[17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 1, 44]",-1,-1,5.6,4.8,5.1,5.2
286,INGENIERIA CIVIL INDUSTRIAL,27,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 37, 28, 38]",-1,-1,5.8,6.4,5.9,6.0
287,INGENIERIA INDUSTRIAL,0,31,-1,-1,-1,-1,4.8,6.5,5.7,5.7
288,INGENIERIA CIVIL INDUSTRIAL,23,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,6.2,6.2,6.6,6.3
289,INGENIERIA CIVIL INDUSTRIAL,21,18,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 38]",-1,-1,7.0,6.6,6.4,6.7
290,INGENIERIA CIVIL INDUSTRIAL,23,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18]","[6, 1, 44, 37, 28, 12, 38, 2, 33]",-1,-1,5.4,5.0,5.0,5.1
291,INGENIERIA CIVIL INFORMATICA,19,12,"[25, 17, 4, 26, 29, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44, 11, 28, 12]",-1,-1,6.7,5.4,5.4,5.8
292,INGENIERIA EN COMPUTACION E INFORMATICA,18,21,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 35]",[37],-1,-1,5.9,5.7,6.1,5.9
293,INGENIERIA CIVIL INDUSTRIAL,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 37]",-1,-1,6.5,4.8,6.6,6.0
295,INGENIERIA CIVIL INFORMATICA,16,23,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37, 28]",-1,-1,7.0,7.0,6.4,6.8
